Country,Code,2011,2010,2009,2008,2007,2006,2005,2004,2003
Austria,AUT,9105000,8878000,8905000,9146000,8996000,8949000,8966000,8881000,8979000
Belgium,BEL,8574000,8439000,8680000,8794000,9137000,9370000,9475000,9564000,9935000
Bulgaria,BGR,5100000,4891000,4872000,5373000,5306000,4778000,4224000,4215000,4254000
Croatia,HRV,3683000,3321000,3500000,3780000,3780000,3629000,3580000,3640000,3774000
Cyprus,CYP,450000,392000,379000,399000,386000,368000,381000,378000,450000
Czech Republic,CZE,15583000,15549000,16190000,20106000,20097000,19987000,19269000,18953000,18748000
Denmark,DNK,3654000,3586000,3946000,4298000,4483000,4605000,4694000,4862000,5181000
Estonia,EST,960000,1063000,1164000,1225000,1338000,1344000,1255000,1097000,960000
Finland,FIN,4732000,4625000,4682000,4737000,4797000,4669000,4600000,4557000,4660000
France,FRA,20000000,19730000,20014000,19735000,20246000,20250000,20354000,20223000,21117000
Germany,DEU,87655000,87872000,89853000,91132000,91885000,95492000,95080000,95682000,97188000
Greece,GRC,4005000,4092000,4329000,4583000,4531000,4295000,4186000,4196000,4238000
Hungary,HUN,6464000,6100000,6500000,7181000,7335000,7152000,6770000,6479000,7326000
Ireland,IRL,4721000,4814000,4832000,5193000,5451000,5508000,5117000,5206000,5315000
Italy,ITA,17715000,17249000,16855000,17836000,18513000,17851000,17340000,17194000,17453000
Latvia,LVA,1626000,1492000,1423000,1551000,1597000,1515000,1396000,1347000,1467000
Lithuania,LTU,2932000,2924000,2584000,3040000,3034000,3093000,3080000,2790000,2613000
Luxembourg,LUX,325000,317000,409000,381000,489000,481000,518000,525000,518000
Malta,MLT,189000,196000,199000,188000,166000,149000,117000,126000,123000
Netherlands,NLD,11974000,11956000,12036000,12910000,12644000,12974000,12941000,12747000,12687000
Norway,NOR,2426000,2434000,2516000,2560000,2553000,2496000,2398000,2399000,2250000
Poland,POL,36007000,34385000,34084000,35861000,35467000,32763000,30669000,29363000,28404000
Portugal,PRT,5320000,5900000,6100000,6200000,6205000,6278000,6224000,6267000,6008000
Romania,ROU,17000000,17000000,17572000,20200000,19400000,17700000,15200000,14500000,12836000
Slovakia,SVK,3997000,3608000,4050000,4178000,4280000,4357000,4320000,4450000,4860000
Slovenia,SNV,1685000,1663000,1740000,1820000,1767000,1703000,1612000,1541000,1531000
Spain,ESP,35196000,35280000,35774000,35692000,36375000,35812000,34425000,34260000,33461000
Sweden,SWE,4806000,4894000,4884000,4771000,4860000,4871000,4669000,4680000,4990000
Switzerland,CHE,4626000,4526000,4480000,4489000,4370000,4288000,4132000,4263000,4334000
Turkey,TUR,8244000,9215000,9231000,9244000,8430000,8020000,8188000,8120000,7939000
United Kingdom,GBR,44843000,45873000,46817000,51282000,53449000,55748000,57572000,59195000,60301000